Plato,Nombre API,Calorías (kcal),Grasas (g),Carbohidratos (g),Proteínas (g),Ingredientes,URL_Receta
Bruschetta,Bruschetta,1350.0,38.28,214.07,38.15,"- peach (1 large peach, ripe but firm, halved and pitted)
- olive oil (1/4 cup rosemary olive oil)
- baguette (10-12 slices of French baguette)
- goat cheese (4 ounces goat cheese, at room temp)
- fresh basil (10 fresh basil leaves, chiffonade)
- Balsamic vinegar (2 tablespoons Balsamic vinegar, to drizzle over finished bruschetta)",https://food52.com/recipes/86123-grilled-peach-bruschetta
Caesar salad,Caesar Salad with Romaine,1072.0,89.33,41.1,31.71,"- fish sauce (3 tablespoons (45ml) fish sauce)
- water (2 tablespoons (30ml) water)
- soy sauce (2 tablespoons (30ml) soy sauce)
- honey (1 tablespoon (15ml) honey)
- kosher salt (1/2 teaspoon kosher salt)
- black pepper (1/2 teaspoon freshly ground black pepper)
- boneless, skinless chicken breast (6 boneless, skinless chicken breast halves (6 to 8 ounces;170 to 225g each), tendon removed)
- Salad Dressing (1 recipe for Caesar Salad Dressing or store-bought Caesar salad dressing)
- salad dressing (1 recipe for Caesar Salad Dressing or store-bought Caesar salad dressing)
- extra-virgin olive oil (1/4 cup (60ml) extra-virgin olive oil, divided)
- baguette (One 12-inch baguette, cut on bias into 1/2-inch-thick slices)
- garlic (1 garlic clove, peeled)
- romaine lettuce (3 romaine lettuce hearts (about 6 ounces;170g each), halved lengthwise through cores)
- Parmigiano-Reggiano cheese (1/4 cup Parmigiano-Reggiano cheese (1/2 ounce; 14g), grated)
- lemons (2 lemons, halved)",https://www.seriouseats.com/grilled-chicken-caesar-salad-recipe-8656144
Cannoli,Cannoli,6120.0,265.92,694.59,209.6,"- pistachios (1 cup unsalted pistachios)
- heavy cream (1 cup heavy cream)
- sugar (2 tablespoons sugar)
- golden raisins (2 tablespoons golden raisins)
- bittersweet chocolate (1 cup chopped bittersweet chocolate)
- ricotta (1 cup ricotta)
- cannoli shells (14 cannoli shells)",https://www.foodnetwork.com/recipes/michael-chiarello/chocolate-cannoli-recipe-1945479
Caprese salad,Beef Salad,1312.0,101.42,6.76,88.68,"- tomatoes (1 1/2 pounds (675g) best-quality ripe tomatoes, mixed sizes, at room temperature)
- mozzarella cheese (8 to 12 ounces (225 to 340g) best-quality fresh mozzarella cheese, torn into bite-size chunks)
- extra-virgin olive oil (Best-quality extra-virgin olive oil)
- sea salt (Coarse sea salt, such as Maldon or fleur de sel)
- black pepper (Coarsely ground fresh black pepper)
- fresh basil (6 to 8 fresh basil leaves)",https://www.seriouseats.com/classic-caprese-salad-recipe
Carrot cake,Carrot Cake with Icing,6952.0,355.78,902.4,65.77,"- cream (125 milliliters pouring cream)
- cream cheese (300 grams cream cheese)
- sour cream (180 grams 20%-fat sour cream)
- sugar (130 grams sugar)
- ginger root (50 grams grated ginger root)
- carrot cake (150 grams crumbled carrot cake)",https://food52.com/recipes/41078-carrot-cake-ginger-cheesecake-ice-cream
Ceviche,Marinated Fish (Ceviche),439.0,5.03,23.42,73.2,"- Chili (Amarillo Chili Tiger's Milk)
- fresh ginger (1/4 inch (5 mm) piece fresh ginger, cut in half)
- garlic (1 small clove garlic, cut in half)
- cilantro (4 roughly chopped cilantro sprigs)
- limes (8 limes, juiced)
- salt (1/2 teaspoon salt)
- Chile Paste (2 teaspoons Amarillo Chile Paste)
- red onion (1 large red onion, very thinly sliced)
- sea bass (1 1/3 lb (600 g) sea bass fillet (or other white fish), skinned and trimmed)
- Chili (Amarillo Chili Tiger's Milk (above))
- cilantro (A few cilantro sprigs, leaves finely chopped)
- chili (1 limo chili, seeded and finely chopped)
- sweet potato (1 sweet potato, cooked and cut into small cubes)
- Fine sea salt (Fine sea salt)",http://www.seriouseats.com/recipes/2014/06/don-ceviche-sea-bass-ceviche-from-ceviche-peruvian-kitchen.html
Cheesecake,Cheesecake,321.0,22.5,25.5,5.5,"- butter (1 tablespoon butter)
- pound cake (2 slices pound cake (any flavor), each piece buttered on one side)
- cheesecake (1 small slice cheesecake (any flavor), cut into very thin slices)",http://www.seriouseats.com/recipes/2011/10/grilled-cheesecake-cakespy-book-dessert-recipe.html
Cheese plate,Cheese,350.0,26.91,4.71,22.21,"- figs (8 figs - sliced)
- Brie (1 wedge of Brie - cut them in thick slices)
- honey (1/3 cup honey)",https://food52.com/recipes/23207-cheese-plate
Chicken curry,Chicken Curry,1206.0,64.89,46.11,111.58,"- boneless skinless chicken breasts (4 boneless skinless chicken breasts)
- curry powder (4 tablespoons yellow curry powder)
- salt (1 teaspoon fine salt)
- vegetable oil (1 tablespoon vegetable oil)
- heavy cream (1 1/2 cups heavy cream)
- cilantro (1 tablespoon cilantro - optional)
- brown basmati rice (2 cups brown basmati rice)
- water (4 cups water)
- bouillon (1 bouillon cube)
- pepper (1/2 teaspoon fresh pepper)
- salt (1/4 teaspoon salt)",https://food52.com/recipes/28630-chicken-curry
Chicken quesadilla,Quesadilla with Poultry and Cheese,564.0,31.59,37.12,31.61,"- Flour tortillas (4 Flour tortillas (approximately 8-inches wide))
- chicken meat (1 cup cooked, shredded or chopped, chicken meat)
- jack cheese (1/4 lb cheddar or Monterey jack cheese, sliced or grated)
- apple (1 apple, sliced)
- salsa (1/4 cup salsa)",http://simplyrecipes.com/recipes/apple_chicken_quesadilla/
Chicken wings,Chicken Wing (Skin Eaten),290.0,19.46,0.0,26.86,"- chicken wings (3 pounds chicken wings, cut in half at joints, wing tips removed)
- Coarse salt (Coarse salt)",https://www.marthastewart.com/1140985/baked-chicken-wings
Chocolate cake,Chocolate Cake (with Chocolate Frosting),367.0,16.4,54.6,4.1,"- Chocolate Cake Mix (1 recipe Chocolate Cake Mix)
- coffee (1/2 cup coffee or water)
- soy milk (1/2 cup almond or soy milk (vanilla flavor preferred))
- canola oil (1/2 cup canola oil)
- maple syrup (1/2 cup pure maple syrup)
- apple cider vinegar (2 tablespoons apple cider vinegar)",http://www.cookstr.com/recipes/chocolate-cake-nicole-axworthy
Chocolate mousse,Chocolate Mousse,1817.0,131.39,140.0,36.17,"- unsalted butter (4 tablespoons (1/2 stick or 2 ounces) unsalted butter, melted)
- eggs (4 large eggs, at room temperature)
- milk (1 1/2 cups milk, warm)
- all-purpose flour (1 cup plus 6 tablespoons all-purpose flour (about 6 3/4 ounces))
- cocoa (2 tablespoons natural cocoa powder)
- sugar (1 tablespoon sugar)
- salt (1 teaspoon salt)
- heavy cream (2 cups heavy cream, chilled)
- eggs (4 large eggs, separated)
- sugar (1/4 cup sugar)
- almond extract (2 teaspoons almond extract)
- chocolate (6 ounces bittersweet (60%) chocolate, chopped (see note))
- salt (1/4 teaspoon salt)
- honey (6 tablespoons honey)
- raspberries (1 pint fresh raspberries)
- salt (Maldon salt (optional))",https://www.seriouseats.com/sandwiched-cocoa-popovers-with-chocolate-mous
Churros,Churros,2225.0,140.75,228.64,13.89,"- all purpose flour (1 cup of all purpose flour)
- eggs (3 eggs)
- water (1 cup of water)
- vanilla extract (2 teaspoons of vanilla extract)
- sugar (2 tablespoons of sugar)
- butter (1/2 stick of butter)
- sugar (1/2 cup of sugar for dusting the churros)
- cinnamon (2 teaspoons of cinnamon for dusting)
- Vegetable oil (Vegetable oil for frying (about 3 cups))
- Nutella (3/4 cup of Nutella)
- heavy cream (1/4 cup heavy cream)
- frozen strawberries (1.5 cup of frozen strawberries (or fresh))
- vanilla extract (1 teaspoon vanilla extract)
- lemon (Juice from half a lemon)
- condensed milk (Small can of sweet condensed milk)",http://www.food52.com/recipes/2266_hanukkah_churros
Clam chowder,Clam Chowder,67.0,2.39,7.79,3.62,"- clam juice (Three 8-ounce bottles clam juice)
- potatoes (1 pound starchy potatoes (such as idaho or russet) peeled and cut into 1/2-inch cubes)
- butter (2 tablespoons butter)
- bay leaf (1 bay leaf)
- onion (1 large onion, chopped (about 1 1/2 cups))
- flour (1/4 cup flour)
- clams (5 (6.5) ounce cans of clams, diced, juices reserved)
- whole milk (1 cup whole milk)
- heavy cream (1/2 cup heavy cream)
- paprika (1 teaspoon paprika)
- Salt (Salt and pepper)
- pepper (Salt and pepper)
- parsley (1/4 cup parsley, chopped (optional))",http://www.seriouseats.com/recipes/2011/02/new-england-clam-chowder-recipe.html
Club sandwich,"Bacon, Chicken and Tomato Club Sandwich with Lettuce and Spread",471.0,21.01,42.06,26.62,"- white Pullman loaf (6 slices (about 1/2-inch thick) white Pullman loaf)
- mayonnaise (6 tablespoons mayonnaise)
- mustard (1 tablespoon mustard (optional))
- lettuce (4 large leaves greenleaf lettuce)
- turkey (3 ounces thickly sliced deli turkey)
- bacon (6 strips thick-cut bacon, cooked until crisp)
- beefsteak tomatoes (1 large beefsteak tomatoes (about 6 ounces), sliced)
- Salt (Salt and pepper)
- pepper (Salt and pepper)",http://www.seriouseats.com/recipes/2012/11/classic-club-sandwich-recipe.html
Crab cakes,Crab Cake,927.0,44.03,3.7,122.67,"- crab meat (1 pound dungeness crab meat (you can use other types of crab but dungeness is the best))
- mayonaise (1/2 cup mayonaise)
- cilantro (1/2 cup finely chopped cilantro)
- parsley (1/4 cup finely chopped Italian parsley (flat leaf))
- red onion (1/2 cup finely chopped red onion)
- lemon juice (1 tablespoon fresh lemon juice)
- bread crumbs (2 cups panko, or plain dry bread crumbs)
- eggs (2 eggs, beaten)
- all purpose flour (1 cup all purpose flour)
- oil (oil for frying crab cakes)",https://food52.com/recipes/1746-my-favorite-crab-cakes-really
Creme brulee,Creme Brulee,1383.0,110.12,90.06,13.9,"- Almonds (1 handful Smoked Almonds)
- Coffee Beans (5 teaspoons Fresh Ground Creme' Brulee' Wegman's Coffee Beans)
- Almond Milk (2 tablespoons Almond Milk)",https://food52.com/recipes/20659-smoked-almond-creme-brulee-coffee
Croque madame,Croque Madame,890.0,40.0,76.0,51.0,"- ham (2 thin slices ham)
- Monterey Jack (50g Monterey Jack or cheddar, grated)
- sourdough (2 chunky slices bread, such as sourdough)
- butter (2 tbsp butter)
- egg (1 egg)",http://www.bbcgoodfood.com/recipes/1133644/croque-madame
Cup cakes,Cupcakes with Frosting (Low Fat),305.0,3.7,67.2,4.3,"- butter (113 grams of butter)
- caster sugar (113 grams of caster sugar)
- eggs (2 eggs)
- flour (113 grams of self raising flour)
- baking powder (1 teaspoon baking powder)
- vanilla extract (1 teaspoon vanilla extract)",https://food52.com/recipes/23641-sparkly-cup-cakes
Deviled eggs,Deviled Egg,110.0,8.89,0.74,6.34,"- eggs (12 large eggs, hard boiled)
- mayonnaise (1/3 cup mayonnaise)
- gochujang (1 tablespoon gochujang, plus more to taste)
- kimchi (1/2 cup finely diced kimchi)
- chives (1 bunch chives, cut into 3-inch sections or minced)
- sesame seeds (1 tablespoon white or black sesame seeds)
- red chili (1 teaspoon Korean red chili, paprika, or cayenne (optional))",https://www.simplyrecipes.com/recipes/kimchi_deviled_eggs/
Donuts,Sugared or Glazed Doughnuts,426.0,22.9,50.8,5.2,"- egg whites (2 egg whites)
- salt (1 pinch of salt)
- muscovado sugar (40g light muscovado sugar)
- breadcrumbs (50g breadcrumbs, finely ground)
- butter (60g melted butter)
- icing sugar (60g icing sugar)
- maple syrup (15g maple syrup (ca. 1/2 tbsp))
- milk (7g milk)
- sea salt (1 pinch of sea salt)
- walnuts (1-2 tablespoons crushed walnuts)",https://food52.com/recipes/22592-breadcrumb-baked-donuts-with-a-sea-salt-and-maple-glaze
Dumplings,Steamed Dumpling (Filled with Meat Poultry or Seafood),918.0,21.63,78.32,94.63,"- coconut milk (1 14-ounce can full fat coconut milk)
- leeks (2 cup leeks, finely chopped)
- salt (1/4 teaspoon salt)
- curry paste (1+ tablespoon green (Thai) curry paste)
- mung beans (2 cups cooked mung beans)
- lime (fresh lime or lemon juice)
- round dumpling wrappers (a few dozen round dumpling wrappers (either homemade or pre-made))",http://www.101cookbooks.com/archives/green-curry-dumplings-recipe.html
Edamame,"Soybeans (Mature Seeds, Steamed, Cooked)",81.0,4.45,6.53,8.47,"- Salt (Salt)
- edamame (1 one-pound bag edamame)
- Salt (1 teaspoon Seasoned Salt)",http://www.marthastewart.com/344275/edamame
Eggs benedict,Benedict Egg,1913.0,149.68,57.65,82.88,"- English muffins (2 English muffins)
- ham (4 slices ham each slice 1/8 inch thick)
- eggs (4 large eggs)
- unsalted butter (3 tablespoons unsalted butter)
- egg yolk (1 large egg yolk)
- lemon zest (1 pinch Meyer lemon zest)
- marjoram (1 sprig fresh marjoram or sage)
- water (2 tablespoons boiling water)
- Meyer lemon juice (1 teaspoon Meyer lemon juice)
- salt (salt to taste)",http://norecipes.com/blog/eggs-benedict-recipe/#sthash.bBstik7O.dpbs
Escargots,Escargots with Garlic Butter,190.0,17.0,3.0,4.0,"- escargots (1 (7 ounce) can escargots, drained)
- butter (6 tablespoons butter)
- garlic (1 clove garlic, minced)
- mushrooms (20 mushrooms, stems removed)
- white wine (1/3 cup white wine)
- cream (1/3 cup cream)
- all-purpose flour (1 tablespoon all-purpose flour)
- dried tarragon (0.25 teaspoon dried tarragon)
- black pepper (1 pinch freshly ground black pepper, or to taste)
- Parmesan cheese (0.25 cup grated Parmesan cheese)",https://www.allrecipes.com/recipe/159391/easy-garlic-escargots
Falafel,Falafel,333.0,17.8,31.84,13.31,"- Falafel (1 recipe Easy, Herb-Packed Falafel)
- harissa (3 tablespoons (45ml) harissa paste)
- pitted black olives (3 ounces pitted black olives (about 1/2 cup; 85g), roughly chopped)",http://www.seriouseats.com/recipes/2016/03/falafel-black-olive-harissa-vegan-experience-recipe.html
Filet mignon,Filet Mignon,524.0,25.98,0.0,67.89,"- unsalted butter (4 tablespoons unsalted butter)
- filet mignon (4 (1 1/2-inch thick) filet mignon steaks (about 6 ounces each))
- kosher salt (1 3/4 teaspoons kosher salt, divided)
- black pepper (1/2 teaspoon freshly ground black pepper)
- garlic (1 clove garlic)
- parsley (1 sprig fresh parsley)
- vegetable oil (2 tablespoons vegetable oil)",https://www.thekitchn.com/filet-mignon-22903014
Fish and chips,Fried Battered Fish,265.0,15.12,8.92,22.24,"- yukon gold (4 medium potatoes I used a mix of yukon gold and russet)
- cod (4 medium fish fillets cod, haddock and albacore work well)
- haddock (4 medium fish fillets cod, haddock and albacore work well)
- albacore (4 medium fish fillets cod, haddock and albacore work well)
- flour (1/2 cup + 2 tablespoons flour)
- flour (1/2 cup + 2 tablespoons flour)
- cornstarch (2 tablespoons cornstarch)
- paprika (1/4 teaspoon paprika)
- onion powder (1/4 teaspoon onion powder)
- vegetable oil (vegetable oil for frying)
- baking powder (1/4 teaspoon baking powder)
- beer (1/2 cup very cold beer you may need a little more)",http://norecipes.com/blog/fish-and-chips-recipe/
Foie gras,"Goose Liver Pate (Pate De Foie Gras, Smoked Canned)",462.0,43.84,4.67,11.4,"- foie gras (1 entire Grade A or Grade B fresh foie gras, about 500 to 750g)
- salt (75g salt)
- sugar (25g sugar)
- salt (12.5g pink curing salt (optional))
- black pepper (10g white or black pepper)
- brandy (2 to 3 tablespoons brandy (such as Cognac))",https://www.seriouseats.com/foie-gras-torchon-recipe
French fries,Potato French Fries,274.0,14.08,35.71,3.49,- French fries (450g frozen French fries),https://www.bbcgoodfood.com/recipes/air-fryer-french-fries
French onion soup,French Onion Soup,3292.0,147.58,351.1,141.99,"- Onion Soup (Counterfeit French Onion Soup Onions (recipe below), or 1 to 1 1/2 cups reserved onions from French Onion Soup)
- wonton wrappers (15 to 20 wonton wrappers)
- Gruyère (1 cup Gruyère, grated)
- Parmesan (1/3 cup Parmesan, grated)
- Chives (Chives, or twigs of thyme, for garnish)
- thyme (Chives, or twigs of thyme, for garnish)
- butter (A pat of butter)
- Onions (Counterfeit French Onion Soup Onions)
- butter (1 tablespoon butter)
- olive oil (1 tablespoon olive oil)
- red onions (2 red onions, thinly sliced)
- yellow onion (1 sweet yellow onion, thinly sliced)
- sugar (1/2 tablespoon sugar)
- Salt (Salt and pepper)
- pepper (Salt and pepper)
- cognac (1/4 cup cognac)
- dry white wine (1/2 cup dry white wine)
- beef stock (1 cup beef stock)
- bay leaf (1 bay leaf)
- thyme (The leaves of 4 sprigs thyme)",http://www.seriouseats.com/recipes/2009/03/french-in-a-flash-french-onion-soup-dumplings-recipe.html
French toast,Plain French Toast,835.0,32.28,105.43,29.41,"- bread (4 slices of your favorite bread for French Toast (not too sour but with some substance), 1/2 - 3/4 inch slices...or to your liking)
- eggs (4 eggs)
- bananas (2 bananas)
- coconut milk (2/3 cups coconut milk (I use the full fat kind))
- vanilla (3/4 teaspoons vanilla)
- dark rum (1 tablespoon best quality dark rum)
- cinnamon (1/4 teaspoon cinnamon)
- lime (zest of a whole lime)
- salt (tiny pinch of salt)
- butter (knob of butter and a splash of olive oil to fry in)
- olive (knob of butter and a splash of olive oil to fry in)",http://www.food52.com/recipes/4604_villa_525_french_toast
Fried calamari,Fried Calamari,1336.0,23.21,106.07,162.05,"- squid (1 pound cleaned squid or calamari (see Recipe Notes if buying whole squid))
- buttermilk (1 cup buttermilk)
- canola oil (6 cups vegetable or canola oil, for deep frying)
- all-purpose flour (1 cup all-purpose flour)
- rice flour (1 cup white rice flour)
- kosher salt (1 1/2 teaspoons Diamond Crystal kosher salt or 3/4 teaspoon fine salt, plus more for seasoning)
- garlic powder (1 teaspoon garlic powder or granules)
- white pepper (1/2 teaspoon ground white pepper)
- Lemon (Lemon wedges and tartar sauce , for serving)",https://www.thekitchn.com/fried-calamari-recipes-23301089
Fried rice,Fried Rice,1719.0,63.73,215.44,64.45,"- garlic (1 whole head of garlic, peeled)
- Kosher salt (Kosher salt)
- vegetable oil (1/4 cup vegetable oil)
- rice (3 cups day-old cooked jasmine or short grain rice (see note above))
- kale (2 cups chopped kale (about 4 ounces))
- bok choy (2 cups chopped bok choy (about 4 ounces))
- chili (1 Thai bird's eye chili, finely minced)
- white pepper (1/4 teaspoon ground white pepper)
- soy sauce (1 teaspoon soy sauce)",http://www.seriouseats.com/recipes/2014/03/bok-choy-kale-fried-rice-garlic-chinese-recipe.html
Frozen yogurt,Frozen Yogurt,107.0,1.47,19.62,4.7,"- vanilla frozen yogurt (1 pint vanilla frozen yogurt)
- peppercorns (1 tablespoon pink peppercorns)",https://www.marthastewart.com/1050211/frozen-yogurt-pink-peppercorns
Garlic bread,Garlic Bread,383.0,14.83,52.92,8.99,"- Italian bread (1 16-ounce loaf of Italian bread or French bread)
- unsalted butter (1/2 cup (1 stick) unsalted butter, softened)
- garlic (2 large cloves of garlic, smashed and minced)
- parsley (1 heaping tablespoon of freshly chopped parsley)
- Parmesan cheese (1/4 cup freshly grated Parmesan cheese (optional))",http://simplyrecipes.com/recipes/garlic_bread/
Gnocchi,Potato Gnocchi,876.0,41.09,112.2,15.54,"- unsalted butter (2 tablepsoons unsalted butter)
- Gnocchi (1 recipe Parisian Gnocchi)
- Parmesan cheese (1/2 cup grated Parmesan cheese)
- parsley (1 tablespoon chopped parsley)
- chives (1 tablespoon chopped fresh chives)",https://www.seriouseats.com/parisian-gnocchi-souffle-recipe
Greek salad,Greek Salad,222.0,15.25,7.08,14.65,"- cherry tomatoes (12 cherry tomatoes)
- cucumber (6 (1/2 inch) slices cucumber, halved)
- red onion (12 (1 by 1/2 inch) pieces red onion)
- feta (12 (1/2 inch) cubes feta (3 ounces))
- Kalamata olives (12 Kalamata olives)
- salad dressing (1/3 cup Greek salad dressing)",https://www.eatingwell.com/recipe/268866/greek-salad-skewers
Grilled cheese sandwich,Grilled Cheese Sandwich,312.0,16.96,29.95,9.85,"- butter (2 tablespoons (30g) butter, cut into 3 even pieces)
- white bread (2 slices hearty white bread, such as Pepperidge Farm or Arnold)
- Jack cheese (2 slices American, cheddar, or Jack cheese)
- Kosher salt (Kosher salt)",https://www.seriouseats.com/serious-eats-grilled-cheese-sandwich-recipe
Grilled salmon,Cooked Salmon,139.0,4.3,0.0,23.45,"- Salmon (8 ounces Grilled Salmon)
- pasta (16 ounces package of Orzo pasta, prepared according to package directions)
- Capers (1 small bottle of Capers (3.5 oz))
- Shallot (1 large Shallot bulb, chopped)
- Cherry Tomatoes (20 Cherry Tomatoes, halved)
- Lemons (Juice of 2 large Lemons)
- Red Bell Pepper (1/4 cup diced Red Bell Pepper)
- fresh Dill (2 tablespoons fresh Dill, chopped)
- cracked Pepper (1 tablespoon fresh cracked Pepper)
- Kosher Salt (Kosher Salt, to taste)",https://food52.com/recipes/6169-grilled-salmon-orzo-salad
Guacamole,Guacamole,647.0,58.95,35.05,8.07,"- butter (2 tablespoons butter, cut into three even pieces)
- white bread (2 slices hearty white bread, such as Pepperidge Farm or Arnold)
- Jack cheese (2 slices American, Cheddar, or Jack cheese)
- guacamole (1/2 cup guacamole (preferably homemade))
- Kosher salt (Kosher salt)",https://www.seriouseats.com/grilled-cheese-guacamole-recipe
Gyoza,Gyoza,120.0,2.5,17.0,7.0,"- cornflour (2 tbsp cornflour)
- gyoza skins (26 ready-made gyoza skins, defrosted if frozen (see tip))
- vegetable oil (2-3 tbsp vegetable oil)",https://www.bbcgoodfood.com/recipes/gyoza
Hamburger,Ground Beef (80% Lean / 20% Fat),254.0,20.0,0.0,17.17,"- ground beef (1 lb. ground beef or chuck)
- Salt (Salt and freshly ground black pepper)
- black pepper (Salt and freshly ground black pepper)
- hamburger bun (4 soft white hamburger bun, split)
- tomato (4 1/4""-thick slices of a large ripe tomato)
- pickles (12–16 sliced pickles (optional))
- iceberg (4 small leaves iceberg lattuce)
- onion (4 1/4""-thick slices peeled onion)",http://www.saveur.com/article/Recipes/Classic-Hamburger
Hot and sour soup,Hot and Sour Soup,761.0,36.78,23.05,70.27,"- dried shiitake mushrooms (1 ounce dried shiitake mushrooms)
- cornstarch (2 tablespoons cornstarch)
- chicken broth (5 cups chicken broth)
- soy sauce (4 tablespoons soy sauce)
- white pepper (1 teaspoon ground white pepper)
- canned bamboo shoots (3/4 cup canned bamboo shoots, rinsed and drained and cut into matchsticks)
- soft tofu (7 ounces soft tofu, cut into 1/2-inch cubes)
- scallions (3 scallions, thinly sliced)
- white vinegar (3 tablespoons white vinegar)
- egg (1 egg, lightly beaten)",https://www.marthastewart.com/971489/hot-and-sour-soup
Hot dog,Frankfurter or Hot Dog on Bun,294.0,17.62,22.24,10.66,"- hot dogs (2 hot dogs)
- eggs (2 eggs)
- potato (1 potato)
- bacon (4 bacon strips)
- parsley (parsley)
- cayenne pepper (Pinch cayenne pepper)
- hot dog buns (2 hot dog buns)
- cheese (Handful cheese)
- butter (2 tablespoons melted butter)",https://food52.com/recipes/40299-breakfast-hot-dog
